id,Sector,Precio,Habitaciones,Baños,Estrato,Área construida,Área privada,Valor administración,Parqueaderos,Precio m²
108,1,500000000,5,3,3,127,127,0,1.0,3937007
109,3,695000000,5,3,3,268,268,0,2.0,2593283
110,2,1900000000,5,5,5,600,600,0,4.0,3166666
111,3,2800000000,4,3,3,3610,3610,0,0.0,775623
112,3,700000000,3,4,4,248,248,700000,3.0,2822580
113,3,1650000000,4,5,5,325,937,0,3.0,1760939
114,3,300000000,3,3,3,209,209,0,1.0,1435406
115,3,1200000000,5,4,4,200,500,0,2.0,2400000
116,3,1200000000,5,5,5,700,700,0,4.0,1714285
117,3,625000000,5,5,5,201,201,0,3.0,3109452
118,3,598000000,3,3,3,160,160,418500,2.0,3737500
119,3,495000000,4,3,3,95,95,350000,1.0,5210526
120,3,1200000000,5,5,5,830,830,750000,4.0,1445783
121,3,380000000,3,3,3,100,100,383000,2.0,3800000
122,3,590000000,3,3,3,209,209,450000,2.0,2822966
123,3,980000000,3,5,5,159,143,950000,2.0,6853146
124,2,1500000000,4,5,5,296,296,1385000,4.0,5067567
125,3,245000000,1,2,2,68,68,0,0.0,3602941
126,3,649000000,3,3,3,118,118,410000,2.0,5500000
127,2,970000000,4,5,5,220,220,796000,2.0,4409090
128,3,200000000,2,2,2,60,60,203000,0.0,3333333
129,3,360000000,3,3,3,75,77,0,1.0,4675324
130,2,667000000,3,4,4,143,144,570000,2.0,4631944
131,2,1500000000,4,5,5,454,454,1500000,4.0,3303964
132,1,164000000,2,2,2,56,56,0,0.0,2928571
133,3,900000000,3,4,4,191,191,0,1.0,4712041
134,2,1800000000,4,4,4,433,433,1153000,4.0,4157043
135,3,1300000000,4,5,5,180,300,800000,4.0,4333333
136,3,185000000,2,2,2,59,59,170000,1.0,3135593
137,2,860000000,3,4,4,246,246,100000000,4.0,3495934
138,3,280000000,3,2,2,70,70,228000,1.0,4000000
139,2,600000000,3,2,2,140,140,1117000,2.0,4285714
140,3,335000000,3,2,2,88,88,270000,1.0,3806818
141,1,570000000,3,2,2,103,103,488000,2.0,5533980
142,1,470000000,3,3,3,110,110,390000,1.0,4272727
143,2,1600000000,3,4,4,240,240,850000,2.0,6666666
144,0,290000000,3,2,2,69,68,350000,1.0,4264705
145,2,300000000,3,2,2,220,159,0,1.0,1886792
146,1,840000000,3,5,5,120,120,958000,2.0,7000000
147,2,1650000000,3,3,3,267,267,1050000,2.0,6179775
148,3,388000000,3,3,3,94,94,380000,1.0,4127659
149,1,259000000,1,1,1,37,33,191000,0.0,7848484
150,1,270000000,4,3,3,85,85,10000,1.0,3176470
151,3,1950000000,3,4,4,310,310,900000,3.0,6290322
152,3,1350000000,3,4,4,380,380,1500000,2.0,3552631
153,3,5900000000,5,5,5,840,840,0,4.0,7023809
154,2,680000000,3,4,4,194,194,800000,2.0,3505154
155,3,1200000000,5,5,5,750,750,0,3.0,1600000
156,3,1480000000,3,5,5,214,214,1029000,4.0,6915887
157,3,2490000000,4,5,5,374,374,0,4.0,6657754
158,1,500000000,5,3,3,127,127,0,1.0,3937007
159,3,695000000,5,3,3,268,268,0,2.0,2593283
160,2,1900000000,5,5,5,600,600,0,4.0,3166666
161,3,2800000000,4,3,3,3610,3610,0,0.0,775623
162,3,700000000,3,4,4,248,248,700000,3.0,2822580
163,3,1650000000,4,5,5,325,937,0,3.0,1760939
164,3,300000000,3,3,3,209,209,0,1.0,1435406
165,3,1200000000,5,4,4,200,500,0,2.0,2400000
166,3,1200000000,5,5,5,700,700,0,4.0,1714285
167,3,625000000,5,5,5,201,201,0,3.0,3109452
168,3,598000000,3,3,3,160,160,418500,2.0,3737500
169,3,495000000,4,3,3,95,95,350000,1.0,5210526
170,3,1200000000,5,5,5,830,830,750000,4.0,1445783
171,3,380000000,3,3,3,100,100,383000,2.0,3800000
172,3,590000000,3,3,3,209,209,450000,2.0,2822966
173,3,980000000,3,5,5,159,143,950000,2.0,6853146
174,2,1500000000,4,5,5,296,296,1385000,4.0,5067567
175,3,245000000,1,2,2,68,68,0,0.0,3602941
176,3,649000000,3,3,3,118,118,410000,2.0,5500000
177,2,970000000,4,5,5,220,220,796000,2.0,4409090
178,3,200000000,2,2,2,60,60,203000,0.0,3333333
179,3,360000000,3,3,3,75,77,0,1.0,4675324
180,2,667000000,3,4,4,143,144,570000,2.0,4631944
181,2,1500000000,4,5,5,454,454,1500000,4.0,3303964
182,1,164000000,2,2,2,56,56,0,0.0,2928571
183,3,900000000,3,4,4,191,191,0,1.0,4712041
184,2,1800000000,4,4,4,433,433,1153000,4.0,4157043
185,3,1300000000,4,5,5,180,300,800000,4.0,4333333
186,3,185000000,2,2,2,59,59,170000,1.0,3135593
187,2,860000000,3,4,4,246,246,100000000,4.0,3495934
188,3,280000000,3,2,2,70,70,228000,1.0,4000000
189,2,600000000,3,2,2,140,140,1117000,2.0,4285714
190,3,335000000,3,2,2,88,88,270000,1.0,3806818
191,1,570000000,3,2,2,103,103,488000,2.0,5533980
192,1,470000000,3,3,3,110,110,390000,1.0,4272727
193,2,1600000000,3,4,4,240,240,850000,2.0,6666666
194,0,290000000,3,2,2,69,68,350000,1.0,4264705
195,2,300000000,3,2,2,220,159,0,1.0,1886792
196,1,840000000,3,5,5,120,120,958000,2.0,7000000
197,2,1650000000,3,3,3,267,267,1050000,2.0,6179775
198,3,388000000,3,3,3,94,94,380000,1.0,4127659
199,1,259000000,1,1,1,37,33,191000,0.0,7848484
200,1,270000000,4,3,3,85,85,10000,1.0,3176470
201,3,1950000000,3,4,4,310,310,900000,3.0,6290322
202,3,1350000000,3,4,4,380,380,1500000,2.0,3552631
203,3,5900000000,5,5,5,840,840,0,4.0,7023809
204,2,680000000,3,4,4,194,194,800000,2.0,3505154
205,3,1200000000,5,5,5,750,750,0,3.0,1600000
206,3,1480000000,3,5,5,214,214,1029000,4.0,6915887
207,3,2490000000,4,5,5,374,374,0,4.0,6657754
208,1,500000000,5,3,3,127,127,0,1.0,3937007
209,3,695000000,5,3,3,268,268,0,2.0,2593283
210,2,1900000000,5,5,5,600,600,0,4.0,3166666
211,3,2800000000,4,3,3,3610,3610,0,0.0,775623
212,3,700000000,3,4,4,248,248,700000,3.0,2822580
213,3,1650000000,4,5,5,325,937,0,3.0,1760939
214,3,300000000,3,3,3,209,209,0,1.0,1435406
215,3,1200000000,5,4,4,200,500,0,2.0,2400000
216,3,1200000000,5,5,5,700,700,0,4.0,1714285
217,3,625000000,5,5,5,201,201,0,3.0,3109452
218,3,598000000,3,3,3,160,160,418500,2.0,3737500
219,3,495000000,4,3,3,95,95,350000,1.0,5210526
220,3,1200000000,5,5,5,830,830,750000,4.0,1445783
221,3,380000000,3,3,3,100,100,383000,2.0,3800000
222,3,590000000,3,3,3,209,209,450000,2.0,2822966
223,3,980000000,3,5,5,159,143,950000,2.0,6853146
224,2,1500000000,4,5,5,296,296,1385000,4.0,5067567
225,3,245000000,1,2,2,68,68,0,0.0,3602941
226,3,649000000,3,3,3,118,118,410000,2.0,5500000
227,2,970000000,4,5,5,220,220,796000,2.0,4409090
228,3,200000000,2,2,2,60,60,203000,0.0,3333333
229,3,360000000,3,3,3,75,77,0,1.0,4675324
230,2,667000000,3,4,4,143,144,570000,2.0,4631944
231,2,1500000000,4,5,5,454,454,1500000,4.0,3303964
232,1,164000000,2,2,2,56,56,0,0.0,2928571
233,3,900000000,3,4,4,191,191,0,1.0,4712041
234,2,1800000000,4,4,4,433,433,1153000,4.0,4157043
235,3,1300000000,4,5,5,180,300,800000,4.0,4333333
236,3,185000000,2,2,2,59,59,170000,1.0,3135593
237,2,860000000,3,4,4,246,246,100000000,4.0,3495934
238,3,280000000,3,2,2,70,70,228000,1.0,4000000
239,2,600000000,3,2,2,140,140,1117000,2.0,4285714
240,3,335000000,3,2,2,88,88,270000,1.0,3806818
241,1,570000000,3,2,2,103,103,488000,2.0,5533980
242,1,470000000,3,3,3,110,110,390000,1.0,4272727
243,2,1600000000,3,4,4,240,240,850000,2.0,6666666
244,0,290000000,3,2,2,69,68,350000,1.0,4264705
245,2,300000000,3,2,2,220,159,0,1.0,1886792
246,1,840000000,3,5,5,120,120,958000,2.0,7000000
247,2,1650000000,3,3,3,267,267,1050000,2.0,6179775
248,3,388000000,3,3,3,94,94,380000,1.0,4127659
249,1,259000000,1,1,1,37,33,191000,0.0,7848484
250,1,270000000,4,3,3,85,85,10000,1.0,3176470
251,3,1950000000,3,4,4,310,310,900000,3.0,6290322
252,3,1350000000,3,4,4,380,380,1500000,2.0,3552631
253,3,5900000000,5,5,5,840,840,0,4.0,7023809
254,2,680000000,3,4,4,194,194,800000,2.0,3505154
255,3,1200000000,5,5,5,750,750,0,3.0,1600000
256,3,1480000000,3,5,5,214,214,1029000,4.0,6915887
257,3,2490000000,4,5,5,374,374,0,4.0,6657754
258,1,500000000,5,3,3,127,127,0,1.0,3937007
259,3,695000000,5,3,3,268,268,0,2.0,2593283
260,2,1900000000,5,5,5,600,600,0,4.0,3166666
261,3,2800000000,4,3,3,3610,3610,0,0.0,775623
262,3,700000000,3,4,4,248,248,700000,3.0,2822580
263,3,1650000000,4,5,5,325,937,0,3.0,1760939
264,3,300000000,3,3,3,209,209,0,1.0,1435406
265,3,1200000000,5,4,4,200,500,0,2.0,2400000
266,3,1200000000,5,5,5,700,700,0,4.0,1714285
267,3,625000000,5,5,5,201,201,0,3.0,3109452
268,3,598000000,3,3,3,160,160,418500,2.0,3737500
269,3,495000000,4,3,3,95,95,350000,1.0,5210526
270,3,1200000000,5,5,5,830,830,750000,4.0,1445783
271,3,380000000,3,3,3,100,100,383000,2.0,3800000
272,3,590000000,3,3,3,209,209,450000,2.0,2822966
273,3,980000000,3,5,5,159,143,950000,2.0,6853146
274,2,1500000000,4,5,5,296,296,1385000,4.0,5067567
275,3,245000000,1,2,2,68,68,0,0.0,3602941
276,3,649000000,3,3,3,118,118,410000,2.0,5500000
277,2,970000000,4,5,5,220,220,796000,2.0,4409090
278,3,200000000,2,2,2,60,60,203000,0.0,3333333
279,3,360000000,3,3,3,75,77,0,1.0,4675324
280,2,667000000,3,4,4,143,144,570000,2.0,4631944
281,2,1500000000,4,5,5,454,454,1500000,4.0,3303964
282,1,164000000,2,2,2,56,56,0,0.0,2928571
283,3,900000000,3,4,4,191,191,0,1.0,4712041
284,2,1800000000,4,4,4,433,433,1153000,4.0,4157043
285,3,1300000000,4,5,5,180,300,800000,4.0,4333333
286,3,185000000,2,2,2,59,59,170000,1.0,3135593
287,2,860000000,3,4,4,246,246,100000000,4.0,3495934
288,3,280000000,3,2,2,70,70,228000,1.0,4000000
289,2,600000000,3,2,2,140,140,1117000,2.0,4285714
290,3,335000000,3,2,2,88,88,270000,1.0,3806818
291,1,570000000,3,2,2,103,103,488000,2.0,5533980
292,1,470000000,3,3,3,110,110,390000,1.0,4272727
293,2,1600000000,3,4,4,240,240,850000,2.0,6666666
294,0,290000000,3,2,2,69,68,350000,1.0,4264705
295,2,300000000,3,2,2,220,159,0,1.0,1886792
296,1,840000000,3,5,5,120,120,958000,2.0,7000000
297,2,1650000000,3,3,3,267,267,1050000,2.0,6179775
298,3,388000000,3,3,3,94,94,380000,1.0,4127659
299,1,259000000,1,1,1,37,33,191000,0.0,7848484
300,1,270000000,4,3,3,85,85,10000,1.0,3176470
301,3,1950000000,3,4,4,310,310,900000,3.0,6290322
302,3,1350000000,3,4,4,380,380,1500000,2.0,3552631
303,3,5900000000,5,5,5,840,840,0,4.0,7023809
304,2,680000000,3,4,4,194,194,800000,2.0,3505154
305,3,1200000000,5,5,5,750,750,0,3.0,1600000
306,3,1480000000,3,5,5,214,214,1029000,4.0,6915887
307,3,2490000000,4,5,5,374,374,0,4.0,6657754
308,1,500000000,5,3,3,127,127,0,1.0,3937007
309,3,695000000,5,3,3,268,268,0,2.0,2593283
310,2,1900000000,5,5,5,600,600,0,4.0,3166666
311,3,2800000000,4,3,3,3610,3610,0,0.0,775623
312,3,700000000,3,4,4,248,248,700000,3.0,2822580
313,3,1650000000,4,5,5,325,937,0,3.0,1760939
314,3,300000000,3,3,3,209,209,0,1.0,1435406
315,3,1200000000,5,4,4,200,500,0,2.0,2400000
316,3,1200000000,5,5,5,700,700,0,4.0,1714285
317,3,625000000,5,5,5,201,201,0,3.0,3109452
318,3,598000000,3,3,3,160,160,418500,2.0,3737500
319,3,495000000,4,3,3,95,95,350000,1.0,5210526
320,3,1200000000,5,5,5,830,830,750000,4.0,1445783
321,3,380000000,3,3,3,100,100,383000,2.0,3800000
